,Airport,ds,period,yhat,yhat_lower,yhat_upper,First_Forecast,Last_Forecast,Total_Growth_%,Annual_Growth_%
0,agadir,2024-12-01,S2,982344.4862283539,806726.7129529676,1151308.7215827971,982344.4862283539,1329143.957511245,35.303244039614306,22.371092222524204
1,agadir,2025-06-01,S1,1316203.110568424,1138674.1705534256,1499577.141704503,982344.4862283539,1329143.957511245,35.303244039614306,22.371092222524204
2,agadir,2025-12-01,S2,1123212.188951111,941565.8567077809,1296365.8027299412,982344.4862283539,1329143.957511245,35.303244039614306,22.371092222524204
3,agadir,2026-06-01,S1,1329143.957511245,1142574.6191073894,1505820.6930846353,982344.4862283539,1329143.957511245,35.303244039614306,22.371092222524204
4,casablanca,2024-12-01,S2,4252935.989287881,3488052.522551718,5067056.322095853,4252935.989287881,4324661.155589158,1.6864859118955684,1.1229906601001982
5,casablanca,2025-06-01,S1,4371710.270413168,3558045.9880408826,5167904.725388152,4252935.989287881,4324661.155589158,1.6864859118955684,1.1229906601001982
6,casablanca,2025-12-01,S2,4545664.842510552,3687171.273847277,5376278.593498689,4252935.989287881,4324661.155589158,1.6864859118955684,1.1229906601001982
7,casablanca,2026-06-01,S1,4324661.155589158,3554168.932652304,5149546.351685093,4252935.989287881,4324661.155589158,1.6864859118955684,1.1229906601001982
8,fes_saiss,2024-12-01,S2,665930.4954332353,554723.4464915611,770757.5917449133,665930.4954332353,941151.5494179837,41.32879570347615,25.98359053158452
9,fes_saiss,2025-06-01,S1,895601.2363674991,791502.479932338,995958.9887120659,665930.4954332353,941151.5494179837,41.32879570347615,25.98359053158452
10,fes_saiss,2025-12-01,S2,790946.7706258396,691412.7323369285,903048.6903913185,665930.4954332353,941151.5494179837,41.32879570347615,25.98359053158452
11,fes_saiss,2026-06-01,S1,941151.5494179837,833511.0190966732,1048877.5503257026,665930.4954332353,941151.5494179837,41.32879570347615,25.98359053158452
12,marrakech,2024-12-01,S2,2481049.43076028,1931578.6099768074,2970575.0958309746,2481049.43076028,4073411.9158265507,64.18100604220187,39.24455886695384
13,marrakech,2025-06-01,S1,4102868.95497554,3607751.5565690324,4650083.980053725,2481049.43076028,4073411.9158265507,64.18100604220187,39.24455886695384
14,marrakech,2025-12-01,S2,2983440.3292138274,2485006.3714006557,3495586.989742153,2481049.43076028,4073411.9158265507,64.18100604220187,39.24455886695384
15,marrakech,2026-06-01,S1,4073411.9158265507,3580699.14837261,4601701.289774514,2481049.43076028,4073411.9158265507,64.18100604220187,39.24455886695384
16,rabat_sale,2024-12-01,S2,524905.1428703195,420276.756585317,632074.5608674192,524905.1428703195,684822.8815238912,30.46602625744899,19.43220734071702
17,rabat_sale,2025-06-01,S1,692978.708063853,582946.4117713014,794861.5254965762,524905.1428703195,684822.8815238912,30.46602625744899,19.43220734071702
18,rabat_sale,2025-12-01,S2,595632.2067467786,485899.9661378503,695912.9996612489,524905.1428703195,684822.8815238912,30.46602625744899,19.43220734071702
19,rabat_sale,2026-06-01,S1,684822.8815238912,576773.4089275089,788663.6755603555,524905.1428703195,684822.8815238912,30.46602625744899,19.43220734071702
