,MAE,MSE,RMSE,MAPE,test_actual,test_predictions
agadir,423904.87480261136,277017119138.46985,526324.1578518602,43.503767016611896,[ 386530.  869271.  905334. 1096971. 1207074. 1471058.],"[683137.92554486 655566.42424696 730014.46103357 768522.18936961
 774354.605627   374428.99645206]"
casablanca,942146.0925901396,1568535737287.4563,1252411.9678793622,22.403587001302537,[2911103. 3721753. 3915890. 4052030. 5738884. 4836649.],"[4186105.68336389 3493929.02582738 4391028.80932811 4016548.08692373
 4583977.88143853 2352125.94296153]"
fes_saiss,206007.62866146318,69056433839.14018,262785.90875300026,25.55866860148785,[468221. 655868. 663324. 809514. 914553. 908250.],"[537399.1758716  533495.06711236 593513.1422419  639557.86334705
 648251.45575227 369823.87544924]"
marrakech,1058097.2781710671,2032108230978.6172,1425520.336922142,45.78229531446845,[ 858489. 2264759. 2638922. 3464327. 3439637. 4492705.],"[2084892.21655672 2213495.72011578 2315917.70228772 2625126.72640471
 2543191.52669701 1480437.87202511]"
rabat_sale,126787.09631520975,34025623040.55754,184460.35628437222,23.15000687166035,[322682. 417507. 455798. 553697. 647979. 777008.],"[477295.63755134 450585.23631976 527226.14565976 534663.32038803
 575889.07780682 366529.04344476]"
